"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Hypertriglyceridemia"	"Oleic acid"	445639	"1547187, 1587849, 2263163, 11750269, 11750270, 11880241, 11895168, 15868884, 17651961, 20653972, 21604764, 26950614, 29725909"	0.0033421589935537	0.0050942201656257
"Tuberous Sclerosis"	"Oleic acid"	445639	"6682930, 13558109, 26892894"	0.00404350890381857	0.00613990606242943
"Dumping Syndrome"	"Oleic acid"	445639	"14147206, 14206852"	0.00456376804355926	0.00691376134575859
"Malabsorption Syndromes"	"Oleic acid"	445639	"3918287, 4035288, 12223350, 13924095, 14196717, 14201749, 17340694"	0.00561465614166615	0.00846531373385592
"Positive-Pressure Respiration, Intrinsic"	"Oleic acid"	445639	"10708156"	0.00605854488893076	0.00912275768449373
"Ventilator-Induced Lung Injury"	"Oleic acid"	445639	"25153803, 26263439"	0.00632821477770521	0.00952126338312635
"Zellweger Syndrome"	"Oleic acid"	445639	"8098333, 8441343, 9639664"	0.00688061705988909	0.0103327614699107
"Carcinoma, Krebs 2"	"Oleic acid"	445639	"1647204, 8352740"	0.00765016544600383	0.0114605844935804
"Prostatic Diseases"	"Oleic acid"	445639	"1397524, 1764380, 8316044"	0.00934901179672521	0.0139351551256132
"Werner Syndrome"	"Oleic acid"	445639	"1937068, 2783077"	0.0098441285143788	0.0146523855087879
"Short Bowel Syndrome"	"Oleic acid"	445639	"11992810, 19028932, 19176401"	0.010850231953842	0.0161118903973198
"Fat Necrosis"	"Oleic acid"	445639	"1546507, 22964727"	0.0110334152607601	0.0163763185406476
"Ciliopathies"	"Oleic acid"	445639	"30127002"	0.0120803983411942	0.01789093011019
"Carcinoma 256, Walker"	"Oleic acid"	445639	"8866022, 9450108, 12296968, 17265532"	0.0140942283827683	0.0207837845855614
"Dermatitis"	"Oleic acid"	445639	"11722487, 13282500, 14116129, 14234245, 21881592, 23210668, 25070596, 26606689"	0.0151655267490299	0.022320196552182
"Warts"	"Oleic acid"	445639	"15215478, 15215482, 15483294, 16785381"	0.0167055315407671	0.0245275606999381
"Leukemia, Basophilic, Acute"	"Oleic acid"	445639	"8135825, 9684751, 12556526"	0.0192511507883377	0.028168011527905
"Fatty Liver, Alcoholic"	"Oleic acid"	445639	"7748273, 26497211, 31834842"	0.0197980800292598	0.028946534416416
"Diphtheria"	"Oleic acid"	445639	"13708879, 13708881, 15392488"	0.0206344258027434	0.0301246179725399
"Atherosclerosis"	"Oleic acid"	445639	"13057209, 13392985, 13783801, 14083242, 14112225, 15755870, 16007558, 16051877, 16118212, 16166077, 16555946, 16875123, 17240191, 18060750, 18620033, 19423111, 19607809, 19628105, 19674494, 20136442, 21486455, 22007352, 22640955, 22750100, 23879935, 23995233, 24616482, 24863413, 26055507, 26401576, 26415675, 26506509, 27088456, 30201531, 30773586"	0.022393378320949	0.03262078462398
"Dermatitis, Allergic Contact"	"Oleic acid"	445639	"8957657, 9534887, 11722487, 11722500, 22134117, 23187866, 31532348"	0.0225916243657537	0.0329002839506525
"Intestinal Neoplasms"	"Oleic acid"	445639	"6595439, 6595440, 22431924, 30063922"	0.0232054283557562	0.0337682917399209
"Plaque, Atherosclerotic"	"Oleic acid"	445639	"21486455, 23995233, 24740644, 26415675, 26506509, 27022716, 28697847"	0.0237851319941101	0.0345877041672636
"Overweight"	"Oleic acid"	445639	"16483884, 20936369, 21397284, 23935253, 24418242, 24591531, 24951981, 25226826, 25421236, 29330461, 30261617"	0.0242480077435189	0.0352373023941462
"Choline Deficiency"	"Oleic acid"	445639	"6185389, 14302120, 26103964"	0.0247906041062426	0.0360057811520227
"Hyperlipidemias"	"Oleic acid"	445639	"1543690, 2263163, 3573720, 4025544, 8240398, 9622272, 10030391, 10599271, 11726973, 12716474, 13658210, 13658230, 13851746, 14106510, 14525677, 15165614, 16483884, 16756155, 19375578, 20579524, 22002411, 22030225, 22718777, 23725506, 24863413, 25138064, 26280928, 26388495, 26767323, 27762456, 28351695, 29431071, 29467759, 30513370, 31340670, 31387185"	0.024888073267086	0.0361441320390661
"Pancreatic Neoplasms"	"Oleic acid"	445639	"8825422, 11483623, 11891015, 12656670, 14054313, 14064872, 14064873, 14105752, 14113160, 14147206, 15297438, 15878969, 16094531, 16226437, 22925809, 30031691"	0.024943214547485	0.0362217509729722
"Hyperphagia"	"Oleic acid"	445639	"12417686, 19176401, 19584878"	0.0254183734231992	0.0368874554546681
"Thinness"	"Oleic acid"	445639	"21310831, 24591531, 25687220, 26556365"	0.0267260685988175	0.0387348771951899
"Lipodystrophy, Congenital Generalized"	"Oleic acid"	445639	"21300801"	0.0269759612979082	0.0390867919048987
"Barth Syndrome"	"Oleic acid"	445639	"28188263"	0.0269759612979082	0.0390867919048987
"Intracranial Embolism"	"Oleic acid"	445639	"12372741, 23937199"	0.0284243260515664	0.041113567515262
"Glucose Intolerance"	"Oleic acid"	445639	"9683400, 11181530, 12941959, 18437120, 21949000, 26798650, 27208342, 28484112"	0.0322173981782278	0.0463663836971524
"Digestive System Fistula"	"Oleic acid"	445639	"9700953"	0.0328711351217276	0.0472572248437099
"Respiratory Sounds"	"Oleic acid"	445639	"21713558, 24235104, 25119335"	0.0336116556803999	0.0482682047120924
"Arteriovenous Fistula"	"Oleic acid"	445639	"3902779, 6520043"	0.0341110999970326	0.0489288895095155
"Encephalomalacia"	"Oleic acid"	445639	"8750206, 14161009"	0.0341110999970326	0.0489288895095155
"Burkitt Lymphoma"	"cis-12-oleic acid"	446285	"17643992"	0.000909799372927123	0.00142306586610725
"Fatigue Syndrome, Chronic"	"PC(16:0/0:0)"	460602	"29968805"	0.00142012755136089	0.00220464456645074
"Irritable Bowel Syndrome"	"PC(16:0/0:0)"	460602	"29968805"	0.00142495533450471	0.00221194488171916
"Sleep Wake Disorders"	"PC(16:0/0:0)"	460602	"29968805"	0.00316664155445778	0.00483312267310816
"Fatigue"	"PC(16:0/0:0)"	460602	"29968805"	0.00610928906009112	0.00919726676098716
"Arthritis, Experimental"	"PC(16:0/0:0)"	460602	"24709313"	0.00692206134969775	0.0103932588601901
"Hemolysis"	"PC(16:0/0:0)"	460602	"9379361"	0.0128895052616441	0.0190527723787052
"Diabetes Mellitus, Type 1"	"PC(16:0/0:0)"	460602	"15805546"	0.0208153135572178	0.0303822248320943
"Insulin Resistance"	"9-elaidic acid"	637517	"12145222, 19541924, 19584878, 22254015, 28484112, 29446544"	0.000137591375368686	0.000221936393112618
"Carcinoma, Ehrlich Tumor"	"9-elaidic acid"	637517	"6942190, 6955539, 7248917"	0.000179553831183663	0.000288502821703746
"Prenatal Exposure Delayed Effects"	"9-elaidic acid"	637517	"25119335, 27068706, 27116856, 31638854"	0.000223449596733247	0.000357579602590906
"Intestinal Neoplasms"	"9-elaidic acid"	637517	"6595439, 6595440"	0.000379970893992728	0.000602905913073665
"Fatty Liver"	"9-elaidic acid"	637517	"19541924, 24863413, 31638854"	0.00245652792732205	0.00377064804836651
"Plaque, Atherosclerotic"	"9-elaidic acid"	637517	"28340693, 28697847"	0.00252540926967472	0.00387402645937924
"Coronary Disease"	"9-elaidic acid"	637517	"7621090, 8645366, 8694021, 11427201, 28340693"	0.00289741650736888	0.00443166979072889
"Atherosclerosis"	"9-elaidic acid"	637517	"13783801, 15755870, 19628105, 24863413"	0.00387929638016459	0.00589460163559706
"Coronary Artery Disease"	"9-elaidic acid"	637517	"26166015, 28697847, 29544473"	0.0109693663433163	0.0162838215517578
"Dementia, Vascular"	"9-elaidic acid"	637517	"31645469"	0.0160601636976383	0.0236039783603902
"Hyperphagia"	"9-elaidic acid"	637517	"19584878"	0.0162955909900828	0.0239413890076077
"Respiratory Sounds"	"9-elaidic acid"	637517	"25119335"	0.0181770132242557	0.0266272108196216
"Colorectal Neoplasms"	"9-elaidic acid"	637517	"27832659, 27959384"	0.0220078893147233	0.0320749816517141
"Neoplasm Metastasis"	"9-elaidic acid"	637517	"27832659, 27959384, 28486225"	0.022361687082889	0.032576071699529
"Hip Fractures"	"9-elaidic acid"	637517	"27269708"	0.0252008367476693	0.0365794192573741
"Body Weight"	"9-elaidic acid"	637517	"1431582, 6942190, 9832074, 12145222, 18059405, 25675445"	0.0254570072316812	0.0369422955635115
"Leishmaniasis, Cutaneous"	"9-elaidic acid"	637517	"28984989"	0.0282291035530804	0.0408403568093687
"Insulinoma"	"9-elaidic acid"	637517	"12656670"	0.0289266175436863	0.0418160308297357
"Respiratory Hypersensitivity"	"9-elaidic acid"	637517	"25119335"	0.0306295766387712	0.0441671817236091
"Parasitemia"	"9-elaidic acid"	637517	"7628573"	0.0332556389616016	0.0477885958511851
"Biotinidase Deficiency"	"Lactobacillic acid"	656761	"14203355"	6.16186866349011e-05	0.000100522773336986
"Hyperoxaluria"	"Lactobacillic acid"	656761	"14593960"	0.000173975657515646	0.000279650898741486
"Urinary Calculi"	"Lactobacillic acid"	656761	"14593960"	0.000681289401362251	0.00107143117056655
"Brucellosis"	"Lactobacillic acid"	656761	"23174310"	0.00266540981480401	0.00408457595113865
"Body Weight"	"3-methyl-hexadecanoic acid"	3016330	"7087402"	0.03424373682271	0.0491098764060095
"Adrenoleukodystrophy"	"Nervonic acid"	5281120	"8072429, 9799802"	1.96928873528003e-05	3.25886646714557e-05
"Inert Gas Narcosis"	"Nervonic acid"	5281120	"16841368"	0.000152227964714813	0.000245134242143685
"Premature Birth"	"Nervonic acid"	5281120	"21816593, 23870193"	0.000179427397702346	0.000288306678064926
"Sandhoff Disease"	"Nervonic acid"	5281120	"6671968"	0.000478357051853839	0.000756395170648357
"Cleft Lip"	"Nervonic acid"	5281120	"16192854"	0.00223771876661683	0.00344247799199447
"Zellweger Syndrome"	"Nervonic acid"	5281120	"9799802"	0.00273675720247701	0.00419177618070422
"Fatigue Syndrome, Chronic"	"Nervonic acid"	5281120	"29968805"	0.00637476451676455	0.00958859612090399
"Irritable Bowel Syndrome"	"Nervonic acid"	5281120	"29968805"	0.00639638174822565	0.00962045504681374
"Paralysis"	"Nervonic acid"	5281120	"16841368"	0.00989251487941489	0.0147222474422532
"Metabolic Syndrome"	"Nervonic acid"	5281120	"24770479, 30959940"	0.0102787299972199	0.0152841073508602
"Cleft Palate"	"Nervonic acid"	5281120	"16192854"	0.0107109115578865	0.0159117988389096
"Sleep Wake Disorders"	"Nervonic acid"	5281120	"29968805"	0.0141712466847658	0.0208955047691572
"Encephalomyelitis, Autoimmune, Experimental"	"Nervonic acid"	5281120	"31362382"	0.016849956058035	0.0247314602193717
"Fibrosarcoma"	"Nervonic acid"	5281120	"9454884"	0.0175132113710417	0.0256819198097735
"Renal Insufficiency, Chronic"	"Nervonic acid"	5281120	"30959940"	0.0233997219271429	0.034044874200459
"Fatigue"	"Nervonic acid"	5281120	"29968805"	0.0271995989086267	0.0393976189854904
"Non-alcoholic Fatty Liver Disease"	"Nervonic acid"	5281120	"31387306"	0.0326098009987299	0.0468882277653454
"Fatty Liver"	"Petroselinic acid"	5281125	"8896286"	0.00401858262198529	0.00610275405450953
"Obesity"	"trans-vaccenic acid"	5281127	"15857162, 18936207, 19216829, 19759243, 22254015, 22914200, 23099444, 24286469, 24775093, 25281760"	2.26447522776922e-07	3.92909771462738e-07
"Insulin Resistance"	"trans-vaccenic acid"	5281127	"18936207, 20065507, 22254015, 22720879, 24775093, 25281760, 29446544"	4.60202138198586e-06	7.73748731148014e-06
"Weight Gain"	"trans-vaccenic acid"	5281127	"16549463, 18759970, 18936207, 19923390, 24286469"	7.38292989046431e-06	1.23550927068864e-05
"Metabolic Syndrome"	"trans-vaccenic acid"	5281127	"18095523, 19216829, 22714958, 24775093, 26891736"	0.000123255069949578	0.00019916048978019
"Cardiovascular Diseases"	"trans-vaccenic acid"	5281127	"19935865, 22332075, 23360131, 25746671, 26561632, 29376474"	0.000958397834307107	0.00149805929039605
"Non-alcoholic Fatty Liver Disease"	"trans-vaccenic acid"	5281127	"24775093, 25281760"	0.0048786996002835	0.00738168576409495
"Hypersensitivity"	"trans-vaccenic acid"	5281127	"18005183, 29341787"	0.00807042120119748	0.0120760341731809
"Rhinitis, Allergic"	"trans-vaccenic acid"	5281127	"29341787"	0.00815442751217388	0.0122000996633619
"Inflammation"	"trans-vaccenic acid"	5281127	"18936207, 21466599, 26891736, 29031397, 29367652"	0.00862675489620664	0.0128835688755987
"Body Weight"	"trans-vaccenic acid"	5281127	"10720171, 14641963, 16960073, 18487662, 19759243, 25962361"	0.0121066280388967	0.0179288420101685
"Respiratory Sounds"	"trans-vaccenic acid"	5281127	"25119335"	0.0154442154380298	0.0227193302919649
"Weight Loss"	"trans-vaccenic acid"	5281127	"15857162, 23360131"	0.0176256783520154	0.0258430857634291
"Hip Fractures"	"trans-vaccenic acid"	5281127	"27269708"	0.0214236229524605	0.0312476746201154
"Dyslipidemias"	"trans-vaccenic acid"	5281127	"18095523, 22714958"	0.0222903152720425	0.0324735796046613
"Postmortem Changes"	"trans-vaccenic acid"	5281127	"22326065"	0.0239375398957916	0.0348020331015217
"Mammary Neoplasms, Experimental"	"trans-vaccenic acid"	5281127	"12094634, 12949384"	0.024064236662849	0.0349805090722816
"Prenatal Exposure Delayed Effects"	"trans-vaccenic acid"	5281127	"25119335, 27116856"	0.0258423266908041	0.037489669289561
"Respiratory Hypersensitivity"	"trans-vaccenic acid"	5281127	"25119335"	0.0260496020852491	0.0377765053400787
"Hair Diseases"	"Methylarachidic acid"	5282602	"18004288"	0.000244048301325295	0.000390084609008332
"Maple Syrup Urine Disease"	"Methylarachidic acid"	5282602	"15725595"	0.000654755415592456	0.00103027179840936
"Tuberculosis, Urogenital"	"Phthioic acid"	5282606	"14862813"	0.000246459558984946	0.000393824709675623
"Aspergillosis"	"Phthioic acid"	5282606	"9147275"	0.00678814982735654	0.010198227320086
"Tuberculosis"	"Phthioic acid"	5282606	"13165582"	0.00934062317701112	0.013922958072831
"Hemolysis"	"lambda isostearic acid"	5282646	"6324464"	0.00646564717860598	0.00972295141422097
"Psoriasis"	"lambda isostearic acid"	5282646	"15608398"	0.00933226974882662	0.013911753897095
"Burkholderia Infections"	"2E-Lauroleic acid"	5282729	"18049456, 19482924, 20624216, 29158389, 30770405"	7.42262697581585e-20	1.53297286694004e-19
"Candidiasis"	"2E-Lauroleic acid"	5282729	"21778264, 30987694"	0.000542863612975038	0.000856848742648891
"Candidiasis, Vulvovaginal"	"2E-Lauroleic acid"	5282729	"30558702"	0.0039403980166749	0.00598602199494373
"Pneumonia, Bacterial"	"2E-Lauroleic acid"	5282729	"20624216"	0.00780219811962279	0.0116834476042843
"Pseudomonas Infections"	"2E-Lauroleic acid"	5282729	"24134835"	0.00915121979898981	0.0136475706876951
"Sjogren-Larsson Syndrome"	"Gaidic acid"	5282743	"22633490, 25137547"	4.86337285573154e-08	8.54962781392324e-08
"Dermatitis, Atopic"	"Gaidic acid"	5282743	"16205069, 20803150"	0.000174823202530092	0.000280998319862233
"Gram-Positive Bacterial Infections"	"Gaidic acid"	5282743	"22155833"	0.00345515941879004	0.00526321370996467
"Gram-Negative Bacterial Infections"	"Gaidic acid"	5282743	"22155833"	0.00471686444097308	0.00714149706452545
"Obesity, Morbid"	"Gaidic acid"	5282743	"27045677"	0.00666926450890615	0.010023872686377
"Disease Susceptibility"	"Gaidic acid"	5282743	"16205069"	0.0157139803085501	0.0231043462699465
"Staphylococcal Infections"	"Gaidic acid"	5282743	"16205069"	0.0227272773216675	0.0330914792446294
"Insulin Resistance"	"trans-9-palmitoleic acid"	5282745	"16822230, 20065507, 20943795, 21173398, 21173413, 21266364, 21774832, 22768070, 23084639, 23150678, 23183516, 23214140, 23324899, 24153340, 24740208, 24973767, 25147439, 25236425, 25411288, 25527748, 26475209, 26648072, 28096141, 28980402, 29443549, 29446544"	3.03178122546367e-20	6.29353291446352e-20
"Obesity"	"trans-9-palmitoleic acid"	5282745	"2040552, 6656535, 15857162, 16210702, 18068341, 19910642, 20541362, 21084651, 21266364, 23214140, 25559239, 25987561, 26648072, 27501297, 27624102, 28096141, 28145413, 28317846, 28870233, 28980402, 30257485"	3.29477760834535e-10	6.01992746654907e-10
"Non-alcoholic Fatty Liver Disease"	"trans-9-palmitoleic acid"	5282745	"22209679, 24740208, 25527748, 25574105, 26817937, 28870233, 30054905, 30400243"	2.48469779447247e-09	4.46912368218406e-09
"Diabetes Mellitus, Type 2"	"trans-9-palmitoleic acid"	5282745	"17093151, 19889804, 21173398, 21173413, 22209679, 23183516, 23362303, 24153340, 25236425, 25411288, 26648072, 27624102, 28988346, 30303968, 30947713, 31124561, 31412623"	4.279781118174e-09	7.67149186844807e-09
"Fatty Liver"	"trans-9-palmitoleic acid"	5282745	"1260416, 20206402, 21774832, 22209679, 22768070, 27925195, 28096141"	1.06488267922499e-05	1.77509896912332e-05
"Pancreatitis, Alcoholic"	"trans-9-palmitoleic acid"	5282745	"23878235, 24162590"	3.92112369493934e-05	6.43262794664417e-05
"Inflammation"	"trans-9-palmitoleic acid"	5282745	"2150301, 19910642, 22209225, 22768070, 23214140, 23833248, 25087591, 25499944, 27683551, 28185444, 28988346, 30102465, 30307983"	0.000285001455318878	0.000454185003776449
"Metabolic Syndrome"	"trans-9-palmitoleic acid"	5282745	"23015321, 25046734, 25236425, 25415333, 26817937, 28980402, 29301242"	0.00108301447001751	0.00168990152512302
"Obesity, Maternal"	"trans-9-palmitoleic acid"	5282745	"30811959"	0.00109901114593625	0.00171436917673656
"Atherosclerosis"	"trans-9-palmitoleic acid"	5282745	"16118212, 17240191, 23407305, 27501297, 27683551, 28980402, 30921498"	0.0020973281758487	0.00323110478285133
"Melanoma, Experimental"	"trans-9-palmitoleic acid"	5282745	"2371287, 20484837, 21918746"	0.00347998634329973	0.00530037629739316
"Obesity, Abdominal"	"trans-9-palmitoleic acid"	5282745	"23228571, 29301242"	0.00413205367429732	0.00627199266001502
"Weight Loss"	"trans-9-palmitoleic acid"	5282745	"2040552, 15857162, 23098653, 25574105"	0.00450374322962557	0.00682447932805248
"Arrhythmias, Cardiac"	"trans-9-palmitoleic acid"	5282745	"9012353, 16646586, 17965287"	0.00501474628092667	0.00758327245666571
"Overweight"	"trans-9-palmitoleic acid"	5282745	"25527748, 27624102, 28870233"	0.00766016637923371	0.0114752099593243
"Diabetes Mellitus"	"trans-9-palmitoleic acid"	5282745	"10102381, 20943795, 23407305, 27501297, 28096141, 29446544"	0.0097195100364611	0.0144712928958975
"Body Weight"	"trans-9-palmitoleic acid"	5282745	"1662585, 7987728, 8869887, 9857071, 11334555, 15649284, 21161792, 22146722, 23098653, 23800210, 24022867, 25057807, 30425202"	0.0103882220770192	0.0154438325055447
"Liver Neoplasms, Experimental"	"trans-9-palmitoleic acid"	5282745	"1503901, 2870604, 12860277"	0.0126407640748031	0.0186943461142911
"Cardiovascular Diseases"	"trans-9-palmitoleic acid"	5282745	"23183516, 25236425, 26817937, 27501297, 28915883, 29301242, 29376474, 30007304, 31891641"	0.0127448770192801	0.0188440049266229
"Ornithine Carbamoyltransferase Deficiency Disease"	"trans-9-palmitoleic acid"	5282745	"9427146"	0.0163596337153827	0.0240337413646561
"Enterocolitis"	"trans-9-palmitoleic acid"	5282745	"26374098"	0.0200306554017124	0.0292733317300629
"Exocrine Pancreatic Insufficiency"	"trans-9-palmitoleic acid"	5282745	"3918287"	0.021107772311278	0.0307968779609872
"Hyperinsulinism"	"trans-9-palmitoleic acid"	5282745	"17093151, 19889804"	0.0264726817912076	0.0383777317744737
"Metabolic Diseases"	"trans-9-palmitoleic acid"	5282745	"23324899, 28096141"	0.0268155247364406	0.0388616361012719
"Multiple Trauma"	"trans-9-palmitoleic acid"	5282745	"7914941"	0.0281872746379134	0.0407812521935201
"Pediatric Obesity"	"trans-9-palmitoleic acid"	5282745	"29301242"	0.0281872746379134	0.0407812521935201
"Cerebral Palsy"	"trans-9-palmitoleic acid"	5282745	"23214140"	0.0320273355627719	0.0461190225415147
"Fatigue"	"trans-9-palmitoleic acid"	5282745	"23394493, 28927488"	0.0321700632466885	0.0463126556532439
"Staphylococcal Skin Infections"	"trans-9-palmitoleic acid"	5282745	"16040962"	0.0345789887947975	0.0495773153628323
"Chagas Disease"	"trans-2-oleic acid"	5282750	"10080387"	0.00198596841095799	0.00306219938127011
"Postmortem Changes"	"trans-2-oleic acid"	5282750	"17644293"	0.00216087194309311	0.00332673847585096
"Acute Lung Injury"	"trans-2-oleic acid"	5282750	"25036508"	0.00458287185004058	0.0069419771170814
"Staphylococcal Infections"	"trans-2-oleic acid"	5282750	"13999824"	0.0142656925479182	0.02103141643878
"Chagas Disease"	"Thalictric acid"	5282753	"10080387"	0.00198596841095799	0.00306219938127011
"Postmortem Changes"	"Thalictric acid"	5282753	"17644293"	0.00216087194309311	0.00332673847585096
"Acute Lung Injury"	"Thalictric acid"	5282753	"25036508"	0.00458287185004058	0.0069419771170814
"Staphylococcal Infections"	"Thalictric acid"	5282753	"13999824"	0.0142656925479182	0.02103141643878
"Fatty Liver"	"Petroselaidic acid"	5282754	"8896286"	0.00401858262198529	0.00610275405450953
"Biotinidase Deficiency"	"10E-octadecenoic acid"	5282760	"14203355"	2.05399592825284e-05	3.39792420207906e-05
"Sunburn"	"cis-vaccenic acid"	5282761	"20354657"	0.00271993751097466	0.00416640249606951
"Lipid Metabolism Disorders"	"cis-vaccenic acid"	5282761	"24200942"	0.00295612887088026	0.00451980608239045
"Conjunctivitis, Allergic"	"cis-vaccenic acid"	5282761	"28840310"	0.00454064042673441	0.00687922697450772
"Carcinoma, Bronchogenic"	"cis-vaccenic acid"	5282761	"2729855"	0.00486062982542435	0.00735538669481194
"Radiation Injuries, Experimental"	"cis-vaccenic acid"	5282761	"20354657"	0.0131803222520902	0.0194693554839053
"Dermatitis"	"cis-vaccenic acid"	5282761	"30518914"	0.0173991176916846	0.0255188214418864
"Coronary Disease"	"cis-vaccenic acid"	5282761	"22579341, 23880347"	0.0174380563578669	0.0255740582408402
"Hypersensitivity"	"cis-vaccenic acid"	5282761	"20354657"	0.032943825302834	0.0473570101918823
"Malaria"	"cis-vaccenic acid"	5282761	"7259000"	0.0333536777259149	0.0479264985687221
"Burkitt Lymphoma"	"trans-12-elaidic acid"	5282762	"17643992"	0.000909799372927123	0.00142306586610725
"Fistula"	"cis-gondoic acid"	5282768	"25969338"	0.00139467970841012	0.00216601627104372
"Fatigue Syndrome, Chronic"	"cis-gondoic acid"	5282768	"29968805"	0.00248390405487253	0.00381185198109347
"Irritable Bowel Syndrome"	"cis-gondoic acid"	5282768	"29968805"	0.00249234367514928	0.00382443819623617
"Sleep Wake Disorders"	"cis-gondoic acid"	5282768	"29968805"	0.005535050364884	0.0083484298252894
"Fatigue"	"cis-gondoic acid"	5282768	"29968805"	0.0106667691150599	0.0158494273569957
"Hypoxia"	"cis-gondoic acid"	5282768	"24050945"	0.0346413493333154	0.0496655971015072
"Fatigue Syndrome, Chronic"	"PE(16:0/18:1(9Z))"	5283496	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(16:0/18:1(9Z))"	5283496	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(16:0/18:1(9Z))"	5283496	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(16:0/18:1(9Z))"	5283496	"29968805"	0.00153083108299856	0.00237292222719608
"Liver Diseases, Alcoholic"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"10560934, 10560939, 11689017, 11866479"	8.88367999288488e-11	1.63588286110145e-10
"Glucose Metabolism Disorders"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"23160532, 23613559"	1.80241502585459e-06	3.06223724569672e-06
"Liver Cirrhosis, Experimental"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"8276177, 17314198"	3.80449631506216e-05	6.24309047020358e-05
"Memory Disorders"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"21272376, 25083573"	0.000238086953128224	0.000380696239803858
"Insulin Resistance"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"23160532, 23613559, 30193201"	0.000682534313087389	0.00107337651438033
"Liver Cirrhosis, Alcoholic"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"9101129"	0.00905954373904694	0.0135148278564121
"Diabetes Mellitus, Type 2"	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"	5288075	"23160532, 23613559"	0.0215236918161377	0.0313907804040486
"Fatigue Syndrome, Chronic"	"PE(18:0/20:4(5Z,8Z,11Z,14Z))"	5289133	"29968805"	0.000355220472298301	0.000564358483194668
"Irritable Bowel Syndrome"	"PE(18:0/20:4(5Z,8Z,11Z,14Z))"	5289133	"29968805"	0.000356428705197254	0.000566209089827581
"Sleep Wake Disorders"	"PE(18:0/20:4(5Z,8Z,11Z,14Z))"	5289133	"29968805"	0.000792600781726716	0.00124308550469733
"Fatigue"	"PE(18:0/20:4(5Z,8Z,11Z,14Z))"	5289133	"29968805"	0.00153083108299856	0.00237292222719608
"Brain Edema"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"10536255, 19678934"	2.87027284683755e-05	4.72768537240323e-05
"Leukodystrophy, Globoid Cell"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"16645197"	0.000481987082303514	0.000761983378447905
"Osteitis Deformans"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"24411720"	0.00168186098392975	0.00260227433007184
"Brain Infarction"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"19678934"	0.00234042114560462	0.00359709881576266
"Nephritis"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"10231436"	0.00556030264744634	0.00838539635793029
"Infarction, Middle Cerebral Artery"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"19678934"	0.00633443915371568	0.00953057797455817
"Bone Resorption"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"24411720"	0.0276942374291899	0.040092023844401
"Stroke"	"7,7-dimethyl-5Z,8Z-eicosadienoic acid"	5312331	"19678934"	0.0281400004030493	0.040714409988973
"Burkholderia Infections"	"2Z-dodecenoic acid"	5312376	"18049456, 19482924, 20624216, 29158389, 30770405"	7.42262697581585e-20	1.53297286694004e-19
"Candidiasis"	"2Z-dodecenoic acid"	5312376	"21778264, 30987694"	0.000542863612975038	0.000856848742648891
"Candidiasis, Vulvovaginal"	"2Z-dodecenoic acid"	5312376	"30558702"	0.0039403980166749	0.00598602199494373
"Pneumonia, Bacterial"	"2Z-dodecenoic acid"	5312376	"20624216"	0.00780219811962279	0.0116834476042843
"Pseudomonas Infections"	"2Z-dodecenoic acid"	5312376	"24134835"	0.00915121979898981	0.0136475706876951
"Sjogren-Larsson Syndrome"	"2Z-hexadecenoic acid"	5312417	"22633490, 25137547"	4.86337285573154e-08	8.54962781392324e-08
"Dermatitis, Atopic"	"2Z-hexadecenoic acid"	5312417	"16205069, 20803150"	0.000174823202530092	0.000280998319862233
"Gram-Positive Bacterial Infections"	"2Z-hexadecenoic acid"	5312417	"22155833"	0.00345515941879004	0.00526321370996467
"Gram-Negative Bacterial Infections"	"2Z-hexadecenoic acid"	5312417	"22155833"	0.00471686444097308	0.00714149706452545
"Obesity, Morbid"	"2Z-hexadecenoic acid"	5312417	"27045677"	0.00666926450890615	0.010023872686377
"Disease Susceptibility"	"2Z-hexadecenoic acid"	5312417	"16205069"	0.0157139803085501	0.0231043462699465
"Staphylococcal Infections"	"2Z-hexadecenoic acid"	5312417	"16205069"	0.0227272773216675	0.0330914792446294
"Neoplasms"	"Sapienic acid"	5312419	"24919473, 30728499"	0.00365914403221014	0.00556789139401969
